,Best Picture,Certificate (GB),Certificate (US),Production Companies (1st),Title,IMDB Rating,genres,plot_keywords,genres_encoded,genres_decode,production_company_encoded,plot_keywords_encoded,plot_keywords_decode
8549,,,,What's Next to the Moon Films,Inner City Rats,5.3,"['Action', 'Comedy', 'Crime', 'Drama']","['city', 'drug', 'york', 'lives', 'young', 'new']",[0 4 5 7],['Action' 'Comedy' 'Crime' 'Drama'],7860,[ 6 18 98 46 99 59],['city' 'drug' 'york' 'lives' 'young' 'new']
8550,,,TV-MA,Turbo Panda Productions,Overrun,4.3,"['Action', 'Comedy', 'Crime', 'Drama']","['family', 'mysterious']",[0 4 5 7],['Action' 'Comedy' 'Crime' 'Drama'],7607,[22 58],['family' 'mysterious']
8551,,12,PG-13,Epic Productions,Men at Work,5.9,"['Action', 'Comedy', 'Crime']",['men'],[0 4 5],['Action' 'Comedy' 'Crime'],3084,[55],['men']
8552,,12,PG-13,New Line Cinema,Central Intelligence,6.3,"['Action', 'Comedy', 'Crime']","['school', 'high', 'world']",[0 4 5],['Action' 'Comedy' 'Crime'],5597,[72 37 95],['school' 'high' 'world']
8553,,12,PG-13,Universal Pictures,K-9,6.0,"['Action', 'Comedy', 'Crime']","['stop', 'police']",[0 4 5],['Action' 'Comedy' 'Crime'],7676,[78 65],['stop' 'police']
8554,,12,PG-13,Warner Bros.,Ocean's Eight,6.3,"['Action', 'Comedy', 'Crime']","['city', 'york', 'new']",[0 4 5],['Action' 'Comedy' 'Crime'],7819,[ 6 98 59],['city' 'york' 'new']
8555,,15,Not Rated,Footprint Features,Shimmer Lake,6.3,"['Action', 'Comedy', 'Crime', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']","['small', 'crime', 'town', 'local', 'day']",[ 0  4  5  7 12 15 18 21],['Action' 'Comedy' 'Crime' 'Drama' 'Horror' 'Mystery' 'Romance' 'Thriller'],3478,[75 10 85 48 12],['small' 'crime' 'town' 'local' 'day']
8556,,15,PG,Columbia Pictures,Hanky Panky,5.6,"['Action', 'Comedy', 'Crime', 'Mystery', 'Thriller']","['gets', 'girl', 'goes', 'run', 'man', 'mysterious']",[ 0  4  5 15 21],['Action' 'Comedy' 'Crime' 'Mystery' 'Thriller'],2294,[32 33 34 70 53 58],['gets' 'girl' 'goes' 'run' 'man' 'mysterious']
8557,,15,PG-13,Warner Bros.,Torque,4.1,"['Action', 'Comedy', 'Crime']","['set', 'returns', 'brother']",[0 4 5],['Action' 'Comedy' 'Crime'],7819,[74 69  5],['set' 'returns' 'brother']
8558,,15,PG-13,Pathé Entertainment,Company Business,5.6,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",['agent'],[ 0  4  5  7 21],['Action' 'Comedy' 'Crime' 'Drama' 'Thriller'],5963,[0],['agent']
8559,,15,R,Kings Road Entertainment,Rent-a-Cop,4.6,"['Action', 'Comedy', 'Crime', 'Thriller']","['gets', 'ex', 'girl', 'drug']",[ 0  4  5 21],['Action' 'Comedy' 'Crime' 'Thriller'],4624,[32 20 33 18],['gets' 'ex' 'girl' 'drug']
8560,,15,R,Metro-Goldwyn-Mayer (MGM),Running Scared,6.5,"['Action', 'Comedy', 'Crime', 'Thriller']","['drug', 'past']",[ 0  4  5 21],['Action' 'Comedy' 'Crime' 'Thriller'],5288,[18 63],['drug' 'past']
8561,,15,TV-14,Broken Road Productions,True Memoirs of an International Assassin,5.9,"['Action', 'Comedy', 'Crime']","['finds', 'world']",[0 4 5],['Action' 'Comedy' 'Crime'],1656,[26 95],['finds' 'world']
8562,,18,R,Millennium Films,Hollow Point,5.7,"['Action', 'Comedy', 'Crime', 'Thriller']","['stop', 'agent', 'group']",[ 0  4  5 21],['Action' 'Comedy' 'Crime' 'Thriller'],5332,[78  0 35],['stop' 'agent' 'group']
8563,,18,R,Caravan Pictures,A Low Down Dirty Shame,5.9,"['Action', 'Comedy', 'Crime']","['ex', 'drug', 'takes']",[0 4 5],['Action' 'Comedy' 'Crime'],1895,[20 18 81],['ex' 'drug' 'takes']
8564,,18,R,Franchise Pictures,3000 Miles to Graceland,5.9,"['Action', 'Comedy', 'Crime', 'Thriller']",['ex'],[ 0  4  5 21],['Action' 'Comedy' 'Crime' 'Thriller'],3539,[20],['ex']
8565,,18,R,Malibu Bay Films,Hard Ticket to Hawaii,5.0,"['Action', 'Comedy', 'Crime']","['drug', 'friends', 'agent', 'help', 'friend']",[0 4 5],['Action' 'Comedy' 'Crime'],5116,[18 30  0 36 29],['drug' 'friends' 'agent' 'help' 'friend']
8566,,,PG-13,Full Moon Entertainment,Oblivion,4.9,"['Adventure', 'Comedy', 'Crime', 'Sci-Fi', 'Western']","['forced', 'murder', 'evil', 'father', 'town', 'friends', 'home', 'old']",[ 1  4  5 19 23],['Adventure' 'Comedy' 'Crime' 'Sci-Fi' 'Western'],3598,[28 57 19 23 85 30 38 61],['forced' 'murder' 'evil' 'father' 'town' 'friends' 'home' 'old']
8567,,12,PG-13,Morgan Creek Entertainment,Ace Ventura: When Nature Calls,6.4,"['Adventure', 'Comedy', 'Crime']",['returns'],[1 4 5],['Adventure' 'Comedy' 'Crime'],5420,[69],['returns']
8568,,12,PG-13,Gladden Entertainment,Weekend at Bernie's,6.4,"['Adventure', 'Comedy', 'Crime']",[],[1 4 5],['Adventure' 'Comedy' 'Crime'],3746,[],[]
8569,,15,PG,Universal Pictures,Crackers,5.2,"['Adventure', 'Comedy', 'Crime', 'Thriller']",[],[ 1  4  5 21],['Adventure' 'Comedy' 'Crime' 'Thriller'],7676,[],[]
8570,,PG,G,Warner Bros. Animation,"The Looney, Looney, Looney Bugs Bunny Movie",7.1,"['Animation', 'Comedy', 'Crime', 'Family', 'Music', 'Western']",[],[ 2  4  5  8 13 23],['Animation' 'Comedy' 'Crime' 'Family' 'Music' 'Western'],7820,[],[]
8571,,12A,PG-13,Broadway Video,Masterminds,5.8,"['Biography', 'Comedy', 'Crime']",['american'],[3 4 5],['Biography' 'Comedy' 'Crime'],1652,[1],['american']
8572,,15,R,Miramax,Confessions of a Dangerous Mind,7.0,"['Biography', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",[],[ 3  4  5  7 18 21],['Biography' 'Comedy' 'Crime' 'Drama' 'Romance' 'Thriller'],5359,[],[]
8573,,15,,Alternate Ending Studios,She Never Died,5.3,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Thriller']","['girl', 'woman', 'people', 'goes', 'mysterious', 'past']",[ 0  4  7  9 21],['Action' 'Comedy' 'Drama' 'Fantasy' 'Thriller'],563,[33 92 64 34 58 63],['girl' 'woman' 'people' 'goes' 'mysterious' 'past']
8574,,18,R,Golan-Globus Productions,American Ninja 2: The Confrontation,4.9,"['Action', 'Comedy', 'Drama']",['local'],[0 4 7],['Action' 'Comedy' 'Drama'],3771,[48],['local']
8575,,12A,PG-13,Armory Films,The Peanut Butter Falcon,7.6,"['Adventure', 'Comedy', 'Drama']","['true', 'home', 'make']",[1 4 7],['Adventure' 'Comedy' 'Drama'],799,[87 38 52],['true' 'home' 'make']
8576,,15,R,Fireworks Pictures,Interstate 60: Episodes of the Road,7.6,"['Adventure', 'Comedy', 'Drama', 'Fantasy']","['takes', 'journey', 'man', 'young']",[1 4 7 9],['Adventure' 'Comedy' 'Drama' 'Fantasy'],3410,[81 42 53 99],['takes' 'journey' 'man' 'young']
8577,,15,R,Planet Productions,Motorama,6.3,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']","['boy', 'year', 'old']",[ 1  4  7  9 15 19 21],['Adventure' 'Comedy' 'Drama' 'Fantasy' 'Mystery' 'Sci-Fi' 'Thriller'],6073,[ 4 96 61],['boy' 'year' 'old']
8578,,PG,PG,Dreamworks Pictures,A Dog's Purpose,7.2,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","['life', 'discover']",[1 4 7 8 9],['Adventure' 'Comedy' 'Drama' 'Family' 'Fantasy'],2856,[45 15],['life' 'discover']
8579,,12,PG,Lucasfilm,Tucker: The Man and His Dream,6.9,"['Biography', 'Comedy', 'Drama']",['story'],[3 4 7],['Biography' 'Comedy' 'Drama'],4963,[79],['story']
8580,,PG,PG,Touchstone Pictures,3 Ninjas,5.3,"['Action', 'Comedy', 'Family', 'Sport']","['years', 'year']",[ 0  4  8 20],['Action' 'Comedy' 'Family' 'Sport'],7537,[97 96],['years' 'year']
8581,,PG,PG,New Line Cinema,Mr. Nanny,3.8,"['Action', 'Comedy', 'Family']","['father', 'couple']",[0 4 8],['Action' 'Comedy' 'Family'],5597,[23  9],['father' 'couple']
8582,,PG,PG-13,Sheen Productions,3 Ninjas: Knuckle Up,4.3,"['Action', 'Comedy', 'Family']",['new'],[0 4 8],['Action' 'Comedy' 'Family'],6807,[59],['new']
8583,,PG,TV-G,WWE Studios,The Main Event,4.8,"['Action', 'Comedy', 'Family', 'Fantasy', 'Sport']","['year', 'old']",[ 0  4  8  9 20],['Action' 'Comedy' 'Family' 'Fantasy' 'Sport'],7798,[96 61],['year' 'old']
8584,,,PG,Commotion Pictures,Just for Kicks,3.0,"['Adventure', 'Comedy', 'Family', 'Sport']",['man'],[ 1  4  8 20],['Adventure' 'Comedy' 'Family' 'Sport'],2309,[53],['man']
8585,,12,PG-13,Universal Pictures,Major Payne,6.3,"['Adventure', 'Comedy', 'Family']","['finds', 'group']",[1 4 8],['Adventure' 'Comedy' 'Family'],7676,[26 35],['finds' 'group']
8586,,PG,PG,Universal 1440 Entertainment,Bigger Fatter Liar,4.0,"['Adventure', 'Comedy', 'Family']","['best', 'set', 'stop', 'new', 'friend']",[1 4 8],['Adventure' 'Comedy' 'Family'],7673,[ 3 74 78 59 29],['best' 'set' 'stop' 'new' 'friend']
8587,,PG,PG,Warner Bros.,The Witches,5.4,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery']","['boy', 'run', 'young']",[ 1  4  8  9 12 15],['Adventure' 'Comedy' 'Family' 'Fantasy' 'Horror' 'Mystery'],7819,[ 4 70 99],['boy' 'run' 'young']
8588,,PG,PG,1492 Pictures,Jingle All the Way,5.7,"['Adventure', 'Comedy', 'Family']","['order', 'father', 'town', 'son', 'man']",[1 4 8],['Adventure' 'Comedy' 'Family'],43,[62 23 85 76 53],['order' 'father' 'town' 'son' 'man']
8589,,PG,PG,TriStar Pictures,Jumanji,7.1,"['Adventure', 'Comedy', 'Family', 'Fantasy']",['man'],[1 4 8 9],['Adventure' 'Comedy' 'Family' 'Fantasy'],7566,[53],['man']
8590,,PG,PG,Warner Bros.,Scooby-Doo,5.2,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",[],[ 1  4  8  9 15],['Adventure' 'Comedy' 'Family' 'Fantasy' 'Mystery'],7819,[],[]
8591,,PG,PG,Walt Disney Pictures,Mr. Magoo,4.0,"['Adventure', 'Comedy', 'Family']",[],[1 4 8],['Adventure' 'Comedy' 'Family'],7807,[],[]
8592,,U,G,Walt Disney Productions,Herbie Goes Bananas,4.9,"['Adventure', 'Comedy', 'Family', 'Fantasy']",[],[1 4 8 9],['Adventure' 'Comedy' 'Family' 'Fantasy'],7808,[],[]
8593,,PG,PG,Metro-Goldwyn-Mayer (MGM),Igor,5.9,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Sci-Fi']",['evil'],[ 2  4  8  9 12 19],['Animation' 'Comedy' 'Family' 'Fantasy' 'Horror' 'Sci-Fi'],5288,[19],['evil']
8594,,U,G,Hanna-Barbera Productions,Jetsons: The Movie,5.5,"['Animation', 'Comedy', 'Family', 'Musical', 'Sci-Fi']","['forced', 'family', 'new']",[ 2  4  8 14 19],['Animation' 'Comedy' 'Family' 'Musical' 'Sci-Fi'],3999,[28 22 59],['forced' 'family' 'new']
8595,,18,R,Cold Fusion Media Group,Night of the Demons,4.6,"['Action', 'Comedy', 'Fantasy', 'Horror', 'Thriller']",['group'],[ 0  4  9 12 21],['Action' 'Comedy' 'Fantasy' 'Horror' 'Thriller'],2278,[35],['group']
8596,,PG,PG,Columbia Pictures,Ghostbusters II,6.6,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",[],[ 0  4  9 19],['Action' 'Comedy' 'Fantasy' 'Sci-Fi'],2294,[],[]
8597,,PG,PG,Metro-Goldwyn-Mayer (MGM),The Meteor Man,5.2,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']","['school', 'city', 'takes', 'high']",[ 0  4  9 19],['Action' 'Comedy' 'Fantasy' 'Sci-Fi'],5288,[72  6 81 37],['school' 'city' 'takes' 'high']
8598,,,Not Rated,Fuzz on the Lens Productions,Abnormal Attraction,4.2,"['Adventure', 'Comedy', 'Fantasy']","['forced', 'real', 'world']",[1 4 9],['Adventure' 'Comedy' 'Fantasy'],3627,[28 67 95],['forced' 'real' 'world']
8599,,12,PG-13,Columbia Pictures,Ghostbusters: Afterlife,7.1,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['small', 'town', 'secret', 'discover']",[ 1  4  9 19],['Adventure' 'Comedy' 'Fantasy' 'Sci-Fi'],2294,[75 85 73 15],['small' 'town' 'secret' 'discover']
8600,,15,Not Rated,Butter Stories,Dave Made a Maze,6.3,"['Adventure', 'Comedy', 'Fantasy', 'Horror']",['living'],[ 1  4  9 12],['Adventure' 'Comedy' 'Fantasy' 'Horror'],1734,[47],['living']
8601,,PG,Not Rated,October Films,The Tune,7.0,"['Animation', 'Comedy', 'Fantasy', 'Musical']","['world', 'love']",[ 2  4  9 14],['Animation' 'Comedy' 'Fantasy' 'Musical'],5738,[95 51],['world' 'love']
8602,,PG,PG-13,Hyperion Pictures,Bebe's Kids,5.8,"['Animation', 'Comedy', 'Fantasy', 'Musical']","['look', 'man', 'new', 'friend']",[ 2  4  9 14],['Animation' 'Comedy' 'Fantasy' 'Musical'],4215,[50 53 59 29],['look' 'man' 'new' 'friend']
8603,,,R,Hidden Empire Film Group (HEFG),The House Next Door: Meet the Blacks 2,4.0,"['Action', 'Comedy', 'Horror']","['best', 'team', 'family', 'home']",[ 0  4 12],['Action' 'Comedy' 'Horror'],4089,[ 3 82 22 38],['best' 'team' 'family' 'home']
8604,,15,R,Saban Films,American Carnage,5.0,"['Action', 'Comedy', 'Horror', 'Mystery', 'Sci-Fi']",['order'],[ 0  4 12 15 19],['Action' 'Comedy' 'Horror' 'Mystery' 'Sci-Fi'],6629,[62],['order']
8605,,15,R,Fox 2000 Pictures,Lake Placid,5.8,"['Action', 'Comedy', 'Horror']","['stop', 'people']",[ 0  4 12],['Action' 'Comedy' 'Horror'],3530,[78 64],['stop' 'people']
8606,,15,R,Epic Productions,The Ambulance,5.9,"['Action', 'Comedy', 'Horror', 'Romance', 'Thriller']","['meets', 'woman', 'old']",[ 0  4 12 18 21],['Action' 'Comedy' 'Horror' 'Romance' 'Thriller'],3084,[54 92 61],['meets' 'woman' 'old']
8607,,18,Not Rated,Foresight Features,Monster Brawl,3.6,"['Action', 'Comedy', 'Horror', 'Sport']","['death', 'set', 'fight']",[ 0  4 12 20],['Action' 'Comedy' 'Horror' 'Sport'],3488,[14 74 24],['death' 'set' 'fight']
8608,,18,R,Troma Entertainment,The Toxic Avenger,6.2,"['Action', 'Comedy', 'Horror', 'Sci-Fi']","['boy', 'falls', 'new']",[ 0  4 12 19],['Action' 'Comedy' 'Horror' 'Sci-Fi'],7591,[ 4 21 59],['boy' 'falls' 'new']
8609,,PG,PG,Creative Wealth Media Finance,Superintelligence,5.4,"['Action', 'Comedy', 'Romance', 'Sci-Fi']","['save', 'world', 'people']",[ 0  4 18 19],['Action' 'Comedy' 'Romance' 'Sci-Fi'],2441,[71 95 64],['save' 'world' 'people']
8610,,PG,PG,Touchstone Pictures,I Love Trouble,5.3,"['Action', 'Comedy', 'Romance', 'Thriller']",[],[ 0  4 18 21],['Action' 'Comedy' 'Romance' 'Thriller'],7537,[],[]
8611,,12,PG-13,Bandeira Entertainment,Bubble Boy,5.7,"['Adventure', 'Comedy', 'Romance', 'Sci-Fi']","['boy', 'girl', 'falls', 'life', 'stop']",[ 1  4 18 19],['Adventure' 'Comedy' 'Romance' 'Sci-Fi'],1126,[ 4 33 21 45 78],['boy' 'girl' 'falls' 'life' 'stop']
8612,,PG,PG,Imagine Entertainment,Vibes,5.7,"['Adventure', 'Comedy', 'Romance']",['city'],[ 1  4 18],['Adventure' 'Comedy' 'Romance'],4277,[6],['city']
8613,,U,PG,Paramount Pictures,Big Top Pee-wee,5.1,"['Adventure', 'Comedy', 'Romance']","['small', 'finds', 'town', 'comes']",[ 1  4 18],['Adventure' 'Comedy' 'Romance'],5921,[75 26 85  8],['small' 'finds' 'town' 'comes']
8614,,18,Not Rated,Reinventing the Wheel,I Am a Sex Addict,6.0,"['Biography', 'Comedy', 'Romance']",['life'],[ 3  4 18],['Biography' 'Comedy' 'Romance'],6422,[45],['life']
8615,,12,PG-13,Blue Train Productions,The Tuxedo,5.4,"['Action', 'Comedy', 'Sci-Fi']","['agent', 'secret']",[ 0  4 19],['Action' 'Comedy' 'Sci-Fi'],1470,[ 0 73],['agent' 'secret']
8616,,15,R,United Artists,Tank Girl,5.4,"['Action', 'Comedy', 'Sci-Fi']","['girl', 'war']",[ 0  4 19],['Action' 'Comedy' 'Sci-Fi'],7662,[33 89],['girl' 'war']
8617,,15,R,New World Pictures,Hell Comes to Frogtown,5.5,"['Action', 'Comedy', 'Sci-Fi']","['war', 'group', 'help', 'women', 'men', 'man']",[ 0  4 19],['Action' 'Comedy' 'Sci-Fi'],5620,[89 35 36 93 55 53],['war' 'group' 'help' 'women' 'men' 'man']
8618,,18,R,Viking International Pictures,The Adventures of Taura: Prison Ship Star Slammer,3.6,"['Action', 'Comedy', 'Sci-Fi']","['prison', 'women']",[ 0  4 19],['Action' 'Comedy' 'Sci-Fi'],7746,[66 93],['prison' 'women']
8619,,PG,PG,New Line Cinema,Suburban Commando,4.6,"['Action', 'Comedy', 'Sci-Fi']","['tries', 'world', 'family']",[ 0  4 19],['Action' 'Comedy' 'Sci-Fi'],5597,[86 95 22],['tries' 'world' 'family']
8620,,12,PG,Sherwood Productions,The Adventures of Buckaroo Banzai Across the 8th Dimension,6.2,"['Adventure', 'Comedy', 'Sci-Fi']","['evil', 'crime', 'stop', 'team']",[ 1  4 19],['Adventure' 'Comedy' 'Sci-Fi'],6812,[19 10 78 82],['evil' 'crime' 'stop' 'team']
8621,,PG,PG,Universal Pictures,Back to the Future Part II,7.8,"['Adventure', 'Comedy', 'Sci-Fi']",[],[ 1  4 19],['Adventure' 'Comedy' 'Sci-Fi'],7676,[],[]
8622,,,R,Plymptoons,Mutant Aliens,6.6,"['Animation', 'Comedy', 'Sci-Fi']","['dead', 'long', 'years']",[ 2  4 19],['Animation' 'Comedy' 'Sci-Fi'],6092,[13 49 97],['dead' 'long' 'years']
8623,,PG,PG,Epic Productions,Ski Patrol,5.1,"['Action', 'Comedy', 'Sport']",[],[ 0  4 20],['Action' 'Comedy' 'Sport'],3084,[],[]
8624,,12,PG-13,Hilltop Entertainment,Chilly Dogs,4.4,"['Adventure', 'Comedy', 'Sport']",['man'],[ 1  4 20],['Adventure' 'Comedy' 'Sport'],4116,[53],['man']
8625,,PG,PG,Icon Entertainment International,Airborne,6.2,"['Adventure', 'Comedy', 'Sport']","['love', 'way']",[ 1  4 20],['Adventure' 'Comedy' 'Sport'],4254,[51 90],['love' 'way']
8626,,12A,PG-13,Netflix,Red Notice,6.3,"['Action', 'Comedy', 'Thriller']","['agent', 'world', 'help']",[ 0  4 21],['Action' 'Comedy' 'Thriller'],5567,[ 0 95 36],['agent' 'world' 'help']
8627,,12A,PG-13,Franchise Pictures,The In-Laws,5.7,"['Action', 'Comedy', 'Thriller']","['future', 'father', 'daughter', 'son', 'discovers']",[ 0  4 21],['Action' 'Comedy' 'Thriller'],3539,[31 23 11 76 16],['future' 'father' 'daughter' 'son' 'discovers']
8628,,15,Unrated,BUFO,The Throwaways,4.6,"['Action', 'Comedy', 'Thriller']","['work', 'life', 'team', 'prison', 'group', 'people']",[ 0  4 21],['Action' 'Comedy' 'Thriller'],1050,[94 45 82 66 35 64],['work' 'life' 'team' 'prison' 'group' 'people']
8629,,18,R,New Line Cinema,Shoot 'Em Up,6.6,"['Action', 'Comedy', 'Thriller']","['woman', 'man']",[ 0  4 21],['Action' 'Comedy' 'Thriller'],5597,[92 53],['woman' 'man']
8630,,18,R,Motion Picture Corporation of America (MPCA),Coldblooded,6.7,"['Action', 'Comedy', 'Thriller']","['job', 'new']",[ 0  4 21],['Action' 'Comedy' 'Thriller'],5438,[41 59],['job' 'new']
8631,,18,R,DC Entertainment,Mortal Kombat Legends: Scorpion's Revenge,7.4,"['Animation', 'Action', 'Adventure', 'Fantasy']","['save', 'family']",[2 0 1 9],['Animation' 'Action' 'Adventure' 'Fantasy'],2516,[71 22],['save' 'family']
8632,,PG,PG,DreamWorks Animation,How to Train Your Dragon: The Hidden World,7.4,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","['finds', 'night', 'world', 'secret', 'discovers']",[2 0 1 4 7 8 9],['Animation' 'Action' 'Adventure' 'Comedy' 'Drama' 'Family' 'Fantasy'],2849,[26 60 95 73 16],['finds' 'night' 'world' 'secret' 'discovers']
8633,,PG,PG,ToonBox Entertainment,Spark: A Space Tail,4.4,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['evil', 'teenage', 'friends']",[ 2  0  1  4  8  9 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Fantasy' 'Sci-Fi'],7522,[19 83 30],['evil' 'teenage' 'friends']
8634,,PG,TV-PG,Warner Bros.,Regular Show: The Movie,7.4,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['evil', 'save']",[ 2  0  1  4  8  9 19],['Animation' 'Action' 'Adventure' 'Comedy' 'Family' 'Fantasy' 'Sci-Fi'],7819,[19 71],['evil' 'save']
8635,,15,PG-13,DC Comics,Catwoman: Hunted,5.6,"['Animation', 'Action', 'Crime', 'Sci-Fi']",['follows'],[ 2  0  5 19],['Animation' 'Action' 'Crime' 'Sci-Fi'],2515,[27],['follows']
8636,,12,PG-13,Warner Bros.,Wyatt Earp,6.7,"['Action', 'Adventure', 'Biography', 'Drama', 'Western']","['city', 'journey', 'man']",[ 0  1  3  7 23],['Action' 'Adventure' 'Biography' 'Drama' 'Western'],7819,[ 6 42 53],['city' 'journey' 'man']
8637,,,Not Rated,Rigel Entertainment,Tyrannosaurus Azteca,3.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']","['lives', 'fight']",[ 0  1  4  9 12 19 21],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Horror' 'Sci-Fi' 'Thriller'],6479,[46 24],['lives' 'fight']
8638,,,Not Rated,Troma Entertainment,Return to Return to Nuke 'Em High Aka Vol. 2,5.5,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","['evil', 'couple', 'world', 'film']",[ 0  1  4  7  9 12 15 19 21],"['Action' 'Adventure' 'Comedy' 'Drama' 'Fantasy' 'Horror' 'Mystery'
 'Sci-Fi' 'Thriller']",7591,[19  9 95 25],['evil' 'couple' 'world' 'film']
8639,,,R,Harwood,The Lost Empire,4.7,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Romance']","['evil', 'women', 'american', 'friend']",[ 0  1  4  7  9 12 18],['Action' 'Adventure' 'Comedy' 'Drama' 'Fantasy' 'Horror' 'Romance'],4021,[19 93  1 29],['evil' 'women' 'american' 'friend']
8640,,12,PG-13,Panorama Films,Zoolander 2,4.7,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Romance']",[],[ 0  1  4 15 18],['Action' 'Adventure' 'Comedy' 'Mystery' 'Romance'],5891,[],[]
8641,,12,PG-13,Universal 1440 Entertainment,R.I.P.D. 2: Rise of the Damned,4.6,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Western']","['save', 'returns']",[ 0  1  4  9 19 23],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Sci-Fi' 'Western'],7673,[71 69],['save' 'returns']
8642,,12A,PG-13,Columbia Pictures,Jumanji: The Next Level,6.7,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['world'],[0 1 4 9],['Action' 'Adventure' 'Comedy' 'Fantasy'],2294,[95],['world']
8643,,15,Not Rated,Brett Kelly Entertainment,Jurassic Shark,1.4,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']","['prison', 'killer', 'college', 'group', 'young']",[ 0  1  4  9 12 19 21],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Horror' 'Sci-Fi' 'Thriller'],1611,[66 44  7 35 99],['prison' 'killer' 'college' 'group' 'young']
8644,,15,Not Rated,Astron-6,Manborg,5.5,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror', 'Sci-Fi']","['future', 'life']",[ 0  1  4  9 12 19],['Action' 'Adventure' 'Comedy' 'Fantasy' 'Horror' 'Sci-Fi'],891,[31 45],['future' 'life']
8645,,15,PG-13,Orion Pictures,Cherry 2000,5.5,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['woman', 'wife']",[ 0  1  4 19],['Action' 'Adventure' 'Comedy' 'Sci-Fi'],5809,[92 91],['woman' 'wife']
8646,,15,TV-14,Slightly Distorted Productions,Zoombies,3.4,"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']","['city', 'stop', 'turns']",[ 0  1  4 12 19 21],['Action' 'Adventure' 'Comedy' 'Horror' 'Sci-Fi' 'Thriller'],6932,[ 6 78 88],['city' 'stop' 'turns']
8647,,PG,PG,Dimension Films,Spy Kids 4: All the Time in the World,3.5,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical', 'Sci-Fi', 'Sport']","['evil', 'stop', 'world', 'new']",[ 0  1  4  7  8  9 13 14 19 20],"['Action' 'Adventure' 'Comedy' 'Drama' 'Family' 'Fantasy' 'Music'
 'Musical' 'Sci-Fi' 'Sport']",2743,[19 78 95 59],['evil' 'stop' 'world' 'new']
8648,,PG,PG,Golan-Globus Productions,Allan Quatermain and the Lost City of Gold,4.5,"['Action', 'Adventure', 'Comedy']","['long', 'brother', 'mysterious', 'old']",[0 1 4],['Action' 'Adventure' 'Comedy'],3771,[49  5 58 61],['long' 'brother' 'mysterious' 'old']
8649,,PG,PG-13,The Cannon Group,King Solomon's Mines,5.2,"['Action', 'Adventure', 'Comedy', 'Romance']","['father', 'woman', 'help']",[ 0  1  4 18],['Action' 'Adventure' 'Comedy' 'Romance'],7335,[23 92 36],['father' 'woman' 'help']
8650,,PG,PG,Sony Pictures Home Entertainment,Open Season 2,5.5,"['Animation', 'Adventure', 'Comedy', 'Family']","['takes', 'group', 'love']",[2 1 4 8],['Animation' 'Adventure' 'Comedy' 'Family'],6977,[81 35 51],['takes' 'group' 'love']
8651,,PG,PG,Walt Disney Pictures,Soul,8.0,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music']","['finds', 'york', 'new']",[ 2  1  4  7  8  9 13],['Animation' 'Adventure' 'Comedy' 'Drama' 'Family' 'Fantasy' 'Music'],7807,[26 98 59],['finds' 'york' 'new']
